,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201909130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,SFN201909140,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,deana001
0,SFN201909150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,BOS201808280,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,deana001
0,BOS201808290,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,deana001
0,NYN201909230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,NYN201909240,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,NYN201909250,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,deana001
0,NYN201909260,2,0,1,0,1,0,0,0,0,1,4,0,0,0,0,deana001
0,WAS201905240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,WAS201905250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,WAS201905260,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,deana001
0,WAS201908300,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,deana001
0,WAS201908310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,WAS201909010,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,deana001
0,MIA201904120,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,deana001
0,MIA201904130,4,2,1,0,1,0,0,0,0,5,4,0,0,0,0,deana001
0,MIA201904140,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,deana001
0,MIA201904150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201904160,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201904170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,deana001
0,MIA201905280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,MIA201905290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIA201905300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,MIA201906070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,MIA201906090,3,2,0,0,1,0,0,0,0,3,4,0,0,0,0,deana001
0,MIA201906100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201906110,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,MIA201906120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,deana001
0,MIA201906140,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,deana001
0,MIA201906150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,MIA201906160,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,MIA201908240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,deana001
0,MIA201908250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIA201908260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,MIA201908270,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,deana001
0,MIA201908280,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIA201908290,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,deana001
0,MIA201909060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201909070,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,deana001
0,MIA201909100,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201909110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,MIA201909120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIA201909200,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,deana001
0,MIA201909210,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,deana001
0,MIA201909220,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,deana001
0,NYN201809110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,NYN201809120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,NYN201809280,2,2,0,0,0,1,0,0,0,1,4,0,0,0,0,deana001
0,NYN201809290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,PHI201809140,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,PHI201809150,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,deana001
0,PHI201809160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,PHI201909270,1,1,0,0,0,0,1,1,0,0,6,0,0,0,0,deana001
0,PHI201909280,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,PHI201909290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,SDN201905310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,SDN201906010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,deana001
0,SDN201906020,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,deana001
0,MIA201808210,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,deana001
0,MIA201808220,3,3,0,0,0,0,0,0,0,1,5,0,0,0,0,deana001
0,MIA201808230,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,deana001
0,MIA201808240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201808250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIA201808260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIA201808310,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,deana001
0,MIA201809010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201809030,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIA201809040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201809050,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,deana001
0,MIA201809170,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,deana001
0,MIA201809180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,MIA201809200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIA201809220,2,1,0,0,1,0,0,0,0,3,3,0,0,0,0,deana001
0,MIA201809230,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,deana001
0,PIT201909040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,PIT201909050,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,PIT201809070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,PIT201809080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,SLN201906170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,SLN201906180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,SLN201906190,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,deana001
0,SLN201906200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,deana001
0,ATL201808150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,deana001
0,MIL201906040,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,deana001
0,MIL201906060,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,WAS201808170,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,deana001
0,WAS201808180,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,deana001
0,WAS201808190,2,1,1,0,0,0,0,0,0,2,6,0,0,0,0,deana001
0,WAS201809240,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,deana001
0,WAS201809250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,deana001
0,WAS201809260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deana001
0,ARI201909160,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,deana001
0,ARI201909170,3,1,2,0,0,0,0,0,0,2,5,0,0,0,0,deana001
0,ARI201909180,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,deana001
0,DET201905220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,deana001
0,DET201905230,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,deana001
