,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,CIN201508220,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,lamar001
0,CIN201508230,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lamar001
0,CIN201508250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,CIN201508260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,CIN201509052,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lamar001
0,CIN201509060,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,TBA201804210,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lamar001
0,NYA201804230,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,lamar001
0,NYA201804240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamar001
0,NYA201804260,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lamar001
0,NYA201808290,3,0,2,0,1,0,0,0,0,4,4,0,0,0,0,lamar001
0,BAL201803290,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,BAL201804010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,BAL201809140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,BAL201809160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,CHA201805040,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,lamar001
0,CHA201805050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lamar001
0,CHA201805060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,CHA201807130,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,lamar001
0,CHA201807140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lamar001
0,CHA201808070,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,lamar001
0,CHA201808080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,CHA201808100,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lamar001
0,CHA201808110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lamar001
0,CHA201808210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,CHA201808310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,CHA201809010,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,lamar001
0,CHA201809020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lamar001
0,CHA201809040,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,lamar001
0,CHA201809090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lamar001
0,CHA201809210,3,2,1,0,0,0,0,0,1,3,3,0,0,0,0,lamar001
0,CHA201809220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamar001
0,CHA201809250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamar001
0,MIN201909080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamar001
0,MIN201909120,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lamar001
0,MIN201909170,2,1,0,0,1,0,0,0,0,1,2,0,0,0,0,lamar001
0,MIN201909190,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,lamar001
0,MIN201909200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamar001
