,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201607220,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,BAL201607230,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,BAL201607240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,KCA201509250,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,lindf001
0,KCA201509260,2,1,1,0,0,1,0,0,1,2,3,0,0,0,0,lindf001
0,KCA201509270,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,lindf001
0,CHA201604080,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,CHA201604090,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,lindf001
0,CHA201605231,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,CHA201605232,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,CHA201605240,3,3,0,0,0,0,0,0,0,1,5,0,0,0,0,lindf001
0,CHA201609120,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lindf001
0,CHA201609130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,CHA201609140,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,lindf001
0,CHA201609150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lindf001
0,OAK201507300,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,OAK201507310,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,lindf001
0,OAK201508010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,OAK201508020,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,lindf001
0,BOS201808200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
0,BOS201808210,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,lindf001
0,BOS201808220,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,lindf001
0,BOS201808230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lindf001
