,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201405190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,ATL201405200,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,ATL201405220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,TOR201407010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,TOR201407020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,ARI201406160,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,ARI201406170,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,herre001
0,ARI201406190,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,herre001
0,CIN201504270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,CIN201504280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,CIN201504290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,CIN201509051,2,0,1,0,1,0,0,0,0,2,5,0,0,0,0,herre001
0,CIN201509052,2,1,0,0,1,0,0,0,0,3,5,0,0,0,0,herre001
0,CIN201509060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,DET201505180,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,DET201505200,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,herre001
0,SLN201404280,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,herre001
0,SLN201404290,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,herre001
0,SLN201404300,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,herre001
0,SLN201408010,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,herre001
0,SLN201408020,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,SLN201408030,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,herre001
0,SDN201408250,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,SDN201408270,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,herre001
0,SFN201408290,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201404210,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201404270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201405130,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,MIL201405140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201405150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201405280,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,herre001
0,MIL201405300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201405310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201406010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201406150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201406230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201406240,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201406250,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201406280,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201406290,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,herre001
0,MIL201407120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201407130,5,4,1,0,0,0,0,0,0,0,5,0,0,0,0,herre001
0,MIL201407270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,MIL201408080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201408230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201408240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201409040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201409060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201409070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201409280,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,herre001
0,PIT201404180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,PIT201404190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,PIT201404200,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,herre001
0,PIT201409200,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,herre001
0,CHN201405160,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,CHN201405170,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,herre001
0,CHN201408140,3,2,0,1,0,0,1,0,0,1,4,0,0,0,0,herre001
0,CHN201409020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,CHN201505010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,CHN201505020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,CHN201505030,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,CHN201508110,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,herre001
0,CHN201508120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,CHN201508130,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,WAS201508210,2,2,0,0,0,1,0,0,0,1,4,0,0,0,0,herre001
0,WAS201508220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,WAS201508230,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,herre001
0,MIA201509070,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,herre001
0,MIA201509080,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,herre001
0,MIA201509090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,COL201406210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,CIN201409230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,LAN201408160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,LAN201408170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIA201405240,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,MIL201504210,2,0,1,0,1,0,0,0,0,5,5,0,0,0,0,herre001
0,MIL201504220,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,herre001
0,MIL201504230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201504240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201504250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,herre001
0,MIL201504260,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,herre001
0,MIL201505040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201505050,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,herre001
0,MIL201505060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201505070,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,MIL201505080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,herre001
0,MIL201505090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201505100,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,herre001
0,MIL201505110,2,0,1,0,1,0,0,0,0,2,4,0,0,0,0,herre001
0,MIL201505120,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,herre001
0,MIL201505130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201505250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herre001
0,MIL201505260,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201505270,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,herre001
0,MIL201505290,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,herre001
0,MIL201505300,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,herre001
0,MIL201505310,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,herre001
0,MIL201507310,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,herre001
0,MIL201508010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201508020,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,herre001
0,MIL201508030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201508040,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,herre001
0,MIL201508050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201508060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,MIL201508070,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,herre001
0,MIL201508080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201508090,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,herre001
0,MIL201508140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201508150,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,herre001
0,MIL201508160,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,herre001
0,MIL201508170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201508180,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,herre001
0,MIL201508190,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,herre001
0,MIL201508280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201508290,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,herre001
0,MIL201508300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,MIL201509010,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201509020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201509030,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,herre001
0,MIL201509150,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,herre001
0,MIL201509160,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,herre001
0,MIL201509170,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,herre001
0,MIL201509180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,MIL201509190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,SLN201506010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,CLE201508250,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,CLE201508260,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,herre001
0,ATL201505210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,herre001
0,ATL201505220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,ATL201505230,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,herre001
0,ATL201505240,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,herre001
0,PIT201509100,1,1,0,0,0,2,0,0,0,0,5,0,0,0,0,herre001
0,PIT201509110,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,herre001
0,PIT201509120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
0,PIT201509130,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,herre001
0,NYN201505160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herre001
