,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201906080,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,hillr001
0,SFN201909290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,MIL201706030,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,hillr001
0,NYN201708050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,CIN201905170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,hillr001
0,COL201808120,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,hillr001
0,COL201809090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,hillr001
0,NYN201806240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,SFN201609300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,ARI201609150,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,hillr001
0,SFN201705160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,SDN201905040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,SDN201909240,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,LAN201704050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,LAN201704160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,LAN201705240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,LAN201706090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201706210,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,hillr001
0,LAN201706260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201707060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201707220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201707290,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,hillr001
0,LAN201708110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201709040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,LAN201709100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201709220,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,hillr001
0,LAN201709270,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,hillr001
0,SDN201707010,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,hillr001
0,SDN201807100,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,hillr001
0,ARI201708290,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,hillr001
0,LAN201904280,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,hillr001
0,LAN201905090,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,hillr001
0,LAN201905280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201906020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201906140,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,hillr001
0,LAN201804010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201804140,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,hillr001
0,LAN201805080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,LAN201805130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,LAN201806290,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,hillr001
0,LAN201807040,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,hillr001
0,LAN201808010,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,hillr001
0,LAN201808240,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,hillr001
0,LAN201808300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,LAN201809040,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,hillr001
0,LAN201809220,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,hillr001
0,PIT201708230,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,hillr001
0,WAS201709160,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,hillr001
0,MIA201707160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,ATL201807260,1,1,0,0,0,0,2,1,0,1,2,0,0,0,0,hillr001
0,MIL201807200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,SLN201705290,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,hillr001
0,MIA201609100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,hillr001
0,LAN201608240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201609030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hillr001
0,LAN201609200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,SFN201804070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hillr001
0,SFN201809300,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,hillr001
0,SLN201809150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,hillr001
0,CHN201806192,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,hillr001
