,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201909240,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,hills005
0,SFN201909250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,hills005
0,SFN201909260,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,hills005
0,SDN201909060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,hills005
0,SDN201909070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hills005
0,SDN201909080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,hills005
0,LAN201909020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,hills005
0,LAN201909040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,hills005
0,LAN201909200,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,hills005
0,LAN201909210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,hills005
0,LAN201909220,3,1,1,0,1,0,0,0,0,3,4,0,0,0,0,hills005
0,COL201908270,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,hills005
0,COL201908280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hills005
0,COL201908290,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,hills005
0,COL201908300,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,hills005
0,COL201908310,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,hills005
0,COL201909010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hills005
0,COL201909100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,hills005
0,COL201909110,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,hills005
0,COL201909120,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,hills005
0,COL201909150,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hills005
0,COL201909170,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,hills005
0,COL201909180,2,0,0,0,2,0,0,0,0,2,4,0,0,0,0,hills005
0,COL201909270,2,0,2,0,0,1,0,0,0,0,3,0,0,0,0,hills005
0,COL201909280,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,hills005
0,COL201909290,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,hills005
