,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,martr004
0,SFN201905010,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,martr004
0,SFN201906070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,martr004
0,SFN201906080,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,martr004
0,SFN201909280,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,ATL201908170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,BAL201604190,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,BAL201604210,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,martr004
0,BAL201606170,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,martr004
0,BAL201606180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,martr004
0,BAL201606190,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,BAL201608290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,BAL201608300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,BAL201608310,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,martr004
0,KCA201507100,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,KCA201507110,1,1,0,0,0,1,1,0,0,0,4,0,0,0,0,martr004
0,KCA201507120,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,martr004
0,CHA201606240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,CHA201606260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,ATL201409220,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,ATL201409230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,ATL201409240,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,martr004
0,ATL201409250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,NYN201405260,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,martr004
0,NYN201405270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,OAK201507210,2,1,0,0,1,0,0,0,0,3,4,0,0,0,0,martr004
0,OAK201507220,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,OAK201507230,2,0,1,0,1,0,0,0,1,3,3,0,0,0,0,martr004
0,MIL201705230,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,MIL201705240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,BOS201805280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,BOS201805290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,BOS201807120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,BOS201807130,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,martr004
0,BOS201807150,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,OAK201807300,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,OAK201808010,2,1,0,0,1,1,0,0,0,2,3,0,0,0,0,martr004
0,NYN201909140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,CIN201905190,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,martr004
0,WAS201907260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,WAS201907280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,martr004
0,DET201408130,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,martr004
0,ARI201407310,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,martr004
0,ARI201408010,1,1,0,0,0,2,0,0,0,1,3,0,0,0,0,martr004
0,ARI201408020,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,martr004
0,ARI201408030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,MIA201908130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,martr004
0,MIA201908140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,MIA201908150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,martr004
0,BOS201504270,1,0,1,0,0,1,0,0,0,2,3,0,0,0,0,martr004
0,BOS201504280,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,martr004
0,BOS201504290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,martr004
0,BOS201506120,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,martr004
0,BOS201506130,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,martr004
0,BOS201506140,3,2,1,0,0,1,0,0,0,2,4,0,0,0,0,martr004
0,BOS201509070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,BOS201509080,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,martr004
0,BOS201509090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,TBA201406230,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,martr004
0,TBA201406240,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,martr004
0,TBA201406250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,ANA201609150,1,0,0,0,1,0,0,0,1,4,3,0,0,0,0,martr004
0,ANA201609160,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,martr004
0,ANA201609170,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,ANA201609180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,SEA201808030,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,martr004
0,SEA201808040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,NYN201805150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,SFN201605090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,SFN201605100,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,martr004
0,SFN201605110,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,martr004
0,HOU201608010,1,0,0,0,1,0,0,0,0,1,6,0,0,0,0,martr004
0,HOU201608030,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,HOU201608040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,BOS201707170,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,martr004
0,BOS201707180,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,martr004
0,BOS201707200,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,martr004
0,BOS201709260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,BOS201709270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,ARI201607190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,ARI201607200,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,martr004
0,TOR201803290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,TOR201803300,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,martr004
0,TOR201804010,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,TOR201804020,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,martr004
0,TOR201804040,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,martr004
0,TOR201804171,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,martr004
0,TOR201804180,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,martr004
0,TOR201804240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,TOR201804250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,TOR201804270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,TOR201804290,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,TOR201805080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martr004
0,TOR201805090,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,martr004
0,TOR201805100,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,martr004
0,TOR201805120,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martr004
0,TOR201805130,3,2,1,0,0,0,0,0,0,1,4,0,0,0,0,martr004
