Date,Number of game,Team,At-bats 14 Game Window,Hits 14 Game Window,RBIs 14 Game Window,Team Earned Runs 14 Game Window,BA 14 Game Window,SLG 14 Game Window,OBP 14 Game Window,OPS 14 Game Window,ISO 14 Game Window
2014-04-16,0,TBA,452.0,101.0,42.0,48.0,0.2234513274336283,0.3606194690265487,0.307843137254902,0.6684626062814507,0.13716814159292037
2014-04-17,0,TBA,452.0,96.0,35.0,49.0,0.21238938053097345,0.34513274336283184,0.2908366533864542,0.6359693967492861,0.1327433628318584
2014-04-18,0,TBA,452.0,96.0,34.0,54.0,0.21238938053097345,0.3473451327433628,0.2908366533864542,0.638181786129817,0.13495575221238937
2014-04-19,0,TBA,461.0,108.0,45.0,56.0,0.23427331887201736,0.3752711496746204,0.3145631067961165,0.6898342564707369,0.14099783080260303
2014-04-20,0,TBA,468.0,113.0,54.0,55.0,0.24145299145299146,0.40384615384615385,0.3193116634799235,0.7231578173260773,0.1623931623931624
2014-04-22,0,TBA,472.0,108.0,47.0,59.0,0.2288135593220339,0.3771186440677966,0.3041825095057034,0.6813011535735001,0.1483050847457627
2014-04-23,0,TBA,480.0,114.0,49.0,58.0,0.2375,0.37083333333333335,0.3082706766917293,0.6791040100250627,0.13333333333333336
2014-04-24,0,TBA,487.0,115.0,53.0,62.0,0.23613963039014374,0.36344969199178645,0.3100917431192661,0.6735414351110525,0.1273100616016427
2014-04-25,0,TBA,488.0,122.0,58.0,67.0,0.25,0.38114754098360654,0.3248638838475499,0.7060114248311564,0.13114754098360654
2014-04-26,0,TBA,490.0,128.0,63.0,76.0,0.2612244897959184,0.3979591836734694,0.34519572953736655,0.7431549132108359,0.136734693877551
2014-04-27,0,TBA,493.0,129.0,64.0,69.0,0.2616632860040568,0.3975659229208925,0.3474426807760141,0.7450086036969066,0.13590263691683568
2014-04-28,0,TBA,491.0,130.0,63.0,75.0,0.26476578411405294,0.39307535641547864,0.34929078014184395,0.7423661365573226,0.1283095723014257
2014-04-29,0,TBA,492.0,132.0,64.0,81.0,0.2682926829268293,0.39227642276422764,0.3538732394366197,0.7461496622008473,0.12398373983739835
2014-05-01,1,TBA,493.0,133.0,63.0,77.0,0.2697768762677485,0.38742393509127787,0.3498233215547703,0.7372472566460482,0.11764705882352938
2014-05-01,2,TBA,492.0,131.0,64.0,71.0,0.266260162601626,0.3902439024390244,0.3503521126760563,0.7405960151150808,0.12398373983739841
2014-05-02,0,TBA,497.0,135.0,70.0,73.0,0.2716297786720322,0.4164989939637827,0.3508771929824561,0.7673761869462388,0.1448692152917505
2014-05-03,0,TBA,521.0,148.0,79.0,69.0,0.2840690978886756,0.42610364683301344,0.3622704507512521,0.7883740975842655,0.1420345489443378
2014-05-04,0,TBA,519.0,141.0,71.0,73.0,0.27167630057803466,0.41811175337186895,0.34517766497461927,0.7632894183464882,0.1464354527938343
