Date,Number of game,Team,League,Game Number,Score,At-bats,Hits,Doubles,Triples,Homeruns,RBIs,Sacrifice Hits,Sacrifice Flies,Hit-by-pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into DP,Left on Base,Pitchers Used,Individual Earned Runs,Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
20140407,0,MIN,AL,7,3,33,6,2,0,0,3,0,0,0,7,0,9,1,0,0,10,2,8,8,0,1,27,7,0,0,1,0
20140409,0,MIN,AL,8,4,43,13,0,0,2,4,0,1,0,4,1,11,0,0,1,11,6,7,7,0,0,33,7,0,0,1,0
20140410,0,MIN,AL,9,1,29,3,0,0,1,1,0,0,0,3,0,7,0,0,1,4,3,6,6,0,0,27,11,0,0,0,0
20140411,0,MIN,AL,10,10,36,11,3,1,1,9,0,0,0,7,0,8,0,0,0,9,3,1,1,1,0,27,13,0,0,1,0
20140412,0,MIN,AL,11,7,32,6,0,0,2,6,0,0,0,3,0,8,0,0,0,4,2,1,1,0,0,27,12,0,0,0,0
20140413,0,MIN,AL,12,4,27,5,0,0,1,2,0,0,0,6,0,7,3,0,2,5,4,3,3,0,0,27,12,2,0,1,0
20140415,0,MIN,AL,13,3,33,7,1,1,1,3,1,0,1,6,0,9,1,0,1,11,5,9,9,0,0,27,11,1,0,1,0
20140417,2,MIN,AL,15,9,30,8,2,0,1,6,1,0,0,12,0,6,3,1,0,10,4,4,4,0,0,27,8,2,0,2,0
20140417,1,MIN,AL,14,7,32,10,3,0,0,7,0,2,0,5,0,7,0,0,1,8,2,0,0,0,0,27,13,2,0,2,0
20140425,0,MIN,AL,22,6,36,11,3,0,1,6,0,2,0,2,0,7,0,0,1,7,5,9,9,0,0,27,15,1,0,1,0
20140426,0,MIN,AL,23,5,26,4,2,0,1,4,1,0,1,8,0,9,1,1,1,7,3,2,2,0,0,27,4,1,0,1,0
20140430,0,MIN,AL,24,4,38,12,5,0,0,4,0,0,0,2,0,11,0,0,0,9,4,6,6,0,0,27,13,1,0,0,0
20140501,1,MIN,AL,25,4,34,7,1,0,0,3,0,0,0,3,0,9,0,0,0,6,3,9,9,0,0,27,13,0,0,3,0
20140501,2,MIN,AL,26,3,40,6,0,0,0,2,0,2,0,7,0,7,2,0,1,10,8,4,4,1,0,36,13,1,0,2,0
20140502,0,MIN,AL,27,0,32,4,2,0,0,0,0,0,0,1,0,13,3,0,0,6,1,3,3,0,0,27,9,0,0,1,0
20140503,0,MIN,AL,28,6,35,12,2,0,2,6,0,0,0,1,0,8,1,0,1,6,3,1,1,1,0,27,10,0,0,1,0
20140504,0,MIN,AL,29,5,34,10,4,0,0,5,0,0,0,6,1,9,2,0,0,11,5,2,2,0,0,27,7,1,0,0,0
20140513,0,MIN,AL,37,8,37,13,2,0,2,8,0,0,0,5,0,7,0,0,1,8,7,6,6,0,0,27,8,0,0,1,0
20140514,0,MIN,AL,38,4,36,10,2,0,1,4,0,1,0,3,0,8,0,0,1,9,5,6,6,0,0,27,8,2,0,1,0
20140515,0,MIN,AL,39,4,38,12,2,0,1,4,0,1,0,5,1,10,0,1,1,11,5,3,3,0,0,30,1,0,0,0,0
20140516,0,MIN,AL,40,5,36,12,6,0,2,5,0,0,0,1,0,1,0,0,0,8,4,4,4,1,0,27,15,0,0,0,0
20140517,0,MIN,AL,41,4,28,6,1,0,1,4,0,0,1,1,0,5,0,0,1,2,4,3,3,1,0,27,9,1,1,1,0
20140518,0,MIN,AL,42,2,33,8,0,0,0,2,0,0,0,1,0,6,0,0,2,5,5,6,6,2,0,27,12,0,0,1,0
20140526,0,MIN,AL,48,2,34,9,2,0,1,2,0,0,1,0,0,6,0,0,0,6,3,7,7,0,0,27,7,1,0,0,0
